scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
ExecRollback,CT,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89953,8.23113,8.60958,9.1775
ExecRollback,DC,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48448,7.70159,8.48739,9.62423
ExecRollback,DE,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48366,7.70048,8.48502,9.61974
ExecRollback,FL,elect_td_bld,1975$/GJ,13.7666,12.9199,12.7181,10.7514,7.52505,7.41999,8.03531,8.45626
ExecRollback,Florida grid,delivered gas,1975$/GJ,2.04073,3.10796,3.1169,2.21388,1.93071,2.24441,2.0064,2.26489
ExecRollback,Florida grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,GA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83327,7.67154,8.00716,8.37708
ExecRollback,Hawaii grid,delivered gas,1975$/GJ,7.34183,8.40906,8.418,7.51498,7.23181,7.54551,7.3075,7.56599
ExecRollback,Hawaii grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,HI,elect_td_bld,1975$/GJ,17.8476,16.6486,22.193,21.8854,12.7291,14.1457,14.4328,13.9773
ExecRollback,IA,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67506,7.35304,7.69622,7.86049
ExecRollback,ID,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.60001,6.80701,7.00542,7.40039
ExecRollback,IL,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9614,12.3895,8.04742,7.55634,7.94506,8.24628
ExecRollback,IN,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97677,7.89338,8.69178,9.05351
ExecRollback,KS,elect_td_bld,1975$/GJ,12.558,11.903,11.8298,9.85661,7.42128,6.96982,7.11577,7.26477
ExecRollback,KY,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97609,7.89237,8.68958,9.0509
ExecRollback,LA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.8315,7.66848,8.00186,8.37169
ExecRollback,MA,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.90015,8.23186,8.61096,9.17976
ExecRollback,MD,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48369,7.70052,8.48517,9.6203
ExecRollback,ME,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.90036,8.23211,8.61137,9.18038
ExecRollback,MI,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97484,7.8902,8.68349,9.0428
ExecRollback,Mid-Atlantic grid,delivered gas,1975$/GJ,2.57013,3.63736,3.6463,2.74328,2.46011,2.77381,2.5358,2.79429
ExecRollback,Mid-Atlantic grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
